Time_s,Layer_1_Temperature_C,Layer_2_Temperature_C,Layer_3_Temperature_C,Layer_4_Temperature_C,Layer_5_Temperature_C,Layer_6_Temperature_C,Layer_7_Temperature_C,Layer_8_Temperature_C,Layer_9_Temperature_C,Layer_10_Temperature_C
24765.98299,71.47680389,71.65334682,71.81226506,71.94479211,72.06026209,72.17988249,72.32055057,72.48549367,72.6659306,72.68968484
24787.5938,71.46456281,71.64092462,71.80033092,71.9338515,72.05018987,72.16995851,72.30995293,72.47377601,72.65317816,72.67713546
24809.2046,71.45232174,71.62850242,71.78839679,71.9229109,72.04011765,72.16003454,72.29935529,72.46205835,72.64042573,72.66458609
24830.81541,71.44008066,71.61608022,71.77646266,71.91197029,72.03004544,72.15011057,72.28875765,72.45034069,72.62767329,72.65203672
24852.42621,71.42783959,71.60365802,71.76452853,71.90102969,72.01997322,72.1401866,72.27816001,72.43862303,72.61492085,72.63948734
24874.03702,71.41559851,71.59123582,71.75259439,71.89008908,72.009901,72.13026263,72.26756236,72.42690537,72.60216842,72.62693797
24895.64782,71.40335744,71.57881362,71.74066026,71.87914848,71.99982878,72.12033866,72.25696472,72.41518771,72.58941598,72.61438859
24917.25863,71.39111636,71.56639142,71.72872613,71.86820787,71.98975656,72.11041468,72.24636708,72.40347005,72.57666355,72.60183922
24938.86943,71.37887529,71.55396922,71.716792,71.85726727,71.97968434,72.10049071,72.23576944,72.39175239,72.56391111,72.58928985
24960.48024,71.36663421,71.54154702,71.70485786,71.84632666,71.96961212,72.09056674,72.2251718,72.38003473,72.55115867,72.57674047
24982.09105,71.35439314,71.52912482,71.69292373,71.83538606,71.9595399,72.08064277,72.21457416,72.36831707,72.53840624,72.5641911
25003.70185,71.34215207,71.51670262,71.6809896,71.82444545,71.94946769,72.0707188,72.20397652,72.35659941,72.5256538,72.55164173
25025.31266,71.32991099,71.50428042,71.66905547,71.81350485,71.93939547,72.06079482,72.19337888,72.34488175,72.51290136,72.53909235
25046.92346,71.31766992,71.49185822,71.65712133,71.80256424,71.92932325,72.05087085,72.18278124,72.33316408,72.50014893,72.52654298
25068.53427,71.30542884,71.47943602,71.6451872,71.79162364,71.91925103,72.04094688,72.1721836,72.32144642,72.48739649,72.5139936
25090.14507,71.29318777,71.46701382,71.63325307,71.78068303,71.90917881,72.03102291,72.16158596,72.30972876,72.47464405,72.50144423
25111.75588,71.28094669,71.45459162,71.62131894,71.76974243,71.89910659,72.02109894,72.15098832,72.2980111,72.46189162,72.48889486
25133.36668,71.26870562,71.44216942,71.6093848,71.75880182,71.88903437,72.01117496,72.14039068,72.28629344,72.44913918,72.47634548
25154.97749,71.25646454,71.42974723,71.59745067,71.74786122,71.87896215,72.00125099,72.12979303,72.27457578,72.43638674,72.46379611
25176.58829,71.24422347,71.41732503,71.58551654,71.73692061,71.86888993,71.99132702,72.11919539,72.26285812,72.42363431,72.45124674
25198.1991,71.23198239,71.40490283,71.57358241,71.72598001,71.85881772,71.98140305,72.10859775,72.25114046,72.41088187,72.43869736
25219.8099,71.21974132,71.39248063,71.56164827,71.7150394,71.8487455,71.97147908,72.09800011,72.2394228,72.39812943,72.42614799
25241.42071,71.20750024,71.38005843,71.54971414,71.7040988,71.83867328,71.96155511,72.08740247,72.22770514,72.385377,72.41359861
25263.03152,71.19525917,71.36763623,71.53778001,71.69315819,71.82860106,71.95163113,72.07680483,72.21598748,72.37262456,72.40104924
25284.64232,71.18301809,71.35521403,71.52584588,71.68221759,71.81852884,71.94170716,72.06620719,72.20426982,72.35987212,72.38849987
25306.25313,71.17077702,71.34279183,71.51391174,71.67127698,71.80845662,71.93178319,72.05560955,72.19255216,72.34711969,72.37595049
25327.86393,71.15853594,71.33036963,71.50197761,71.66033638,71.7983844,71.92185922,72.04501191,72.18083449,72.33436725,72.36340112
25349.47474,71.14629487,71.31794743,71.49004348,71.64939577,71.78831218,71.91193525,72.03441427,72.16911683,72.32161481,72.35085175
25371.08554,71.1340538,71.30552523,71.47810935,71.63845517,71.77823997,71.90201127,72.02381663,72.15739917,72.30886238,72.33830237
25392.69635,71.12181272,71.29310303,71.46617521,71.62751456,71.76816775,71.8920873,72.01321899,72.14568151,72.29610994,72.325753
25414.30715,71.1107942,71.28151363,71.45429287,71.61580227,71.75700097,71.88148731,72.00284076,72.13503738,72.28483488,72.31450578
25435.91796,71.09992796,71.27002797,71.44241698,71.60399386,71.74569786,71.87080313,71.99248986,72.12452695,72.27374383,72.30342075
25457.52876,71.08906172,71.2585423,71.43054108,71.59218546,71.73439476,71.86011894,71.98213896,72.11401653,72.26265278,72.29233573
25479.13957,71.07819548,71.24705663,71.41866519,71.58037705,71.72309165,71.84943475,71.97178806,72.1035061,72.25156173,72.2812507
25500.75038,71.06732923,71.23557096,71.40678929,71.56856864,71.71178854,71.83875056,71.96143716,72.09299568,72.24047069,72.27016567
25522.36118,71.05646299,71.2240853,71.3949134,71.55676023,71.70048543,71.82806637,71.95108626,72.08248525,72.22937964,72.25908064
25543.97199,71.04559675,71.21259963,71.38303751,71.54495183,71.68918233,71.81738218,71.94073536,72.07197483,72.21828859,72.24799561
25565.58279,71.03473051,71.20111396,71.37116161,71.53314342,71.67787922,71.80669799,71.93038446,72.0614644,72.20719754,72.23691059
25587.1936,71.02386426,71.18962829,71.35928572,71.52133501,71.66657611,71.79601381,71.92003356,72.05095398,72.19610649,72.22582556
25608.8044,71.01299802,71.17814262,71.34740983,71.50952661,71.655273,71.78532962,71.90968266,72.04044355,72.18501544,72.21474053
25630.41521,71.00213178,71.16665696,71.33553393,71.4977182,71.6439699,71.77464543,71.89933176,72.02993313,72.1739244,72.2036555
25652.02601,70.99126554,71.15517129,71.32365804,71.48590979,71.63266679,71.76396124,71.88898086,72.0194227,72.16283335,72.19257047
25673.63682,70.98039929,71.14368562,71.31178215,71.47410138,71.62136368,71.75327705,71.87862996,72.00891228,72.1517423,72.18148545
25695.24762,70.96953305,71.13219995,71.29990625,71.46229298,71.61006057,71.74259286,71.86827906,71.99840186,72.14065125,72.17040042
25716.85843,70.95866681,71.12071429,71.28803036,71.45048457,71.59875747,71.73190867,71.85792817,71.98789143,72.1295602,72.15931539
25738.46923,70.94780057,71.10922862,71.27615447,71.43867616,71.58745436,71.72122449,71.84757727,71.97738101,72.11846915,72.14823036
25760.08004,70.93693432,71.09774295,71.26427857,71.42686775,71.57615125,71.7105403,71.83722637,71.96687058,72.10737811,72.13714534
25781.69085,70.92606808,71.08625728,71.25240268,71.41505935,71.56484815,71.69985611,71.82687547,71.95636016,72.09628706,72.12606031
25803.30165,70.91520184,71.07477161,71.24052679,71.40325094,71.55354504,71.68917192,71.81652457,71.94584973,72.08519601,72.11497528
25824.91246,70.9043356,71.06328595,71.22865089,71.39144253,71.54224193,71.67848773,71.80617367,71.93533931,72.07410496,72.10389025
25846.52326,70.89346935,71.05180028,71.216775,71.37963413,71.53093882,71.66780354,71.79582277,71.92482888,72.06301391,72.09280522
25868.13407,70.88260311,71.04031461,71.20489911,71.36782572,71.51963572,71.65711935,71.78547187,71.91431846,72.05192286,72.0817202
25889.74487,70.87173687,71.02882894,71.19302321,71.35601731,71.50833261,71.64643517,71.77512097,71.90380803,72.04083182,72.07063517
25911.35568,70.86087063,71.01734328,71.18114732,71.3442089,71.4970295,71.63575098,71.76477007,71.89329761,72.02974077,72.05955014
25932.96648,70.85000438,71.00585761,71.16927143,71.3324005,71.48572639,71.62506679,71.75441917,71.88278718,72.01864972,72.04846511
